NumFeatures,Word,LenWord
1360,K AH V R IH JH,6
1258,K OW V ER T,5
1168,K AH V AH T,5
768,K AH V IY,4
72,K AW,2
772,K AW ER D,4
1796,K AW ER D AH S,6
1660,K AW ER D L IY,6
372,K AW ER,3
330,K AW L,3
1008,K AW L IH K,5
944,K AW L IH NG,5
768,K AA K S,4
84,K OY,2
1432,K AY OW T IY,5
864,K AY OW T,4
582,K R AE B,4
924,K R AE B IY,5
582,K R AE K,4
924,K R AE K ER,5
1268,K R AE K AH L,6
1724,K R EY D AH L,6
924,K R AE F T,5
1324,K R AE F T IY,6
533,K R AE M,4
738,K R AE M P,5
1419,K R AE M P AO N,7
716,K R EY N,4
1724,K R EY N Y AH L,7
1916,K R EY N IY AH M,7
738,K R AE NG K,5
996,K R AE NG K IY,6
1030,K R AE N IY,5
582,K R AE P,4
680,K R AE SH,4
680,K R AE S,4
772,K R EY T,4
1284,K R EY T ER,5
660,K R EY V,4
1388,K R EY V AH N,6
801,K R AO L,4
1212,K R EY AA N,5
772,K R EY Z,4
1284,K R EY Z IY,5
660,K R IY K,4
604,K R IY M,4
772,K R IY S,4
1284,K R IY EY T,5
2236,K R IY EY SH AH N,7
2164,K R IY EY T IH V,7
3460,K R IY EY T IH V AH T IY,10
1796,K R IY EY T ER,6
1284,K R IY CH ER,5
772,K R EH SH,4
2172,K R IY D AH N S,7
3796,K R EH D AH B IH L IH T IY,11
2380,K R EH D AH B AH L,8
1796,K R EH D AH T,6
1796,K R EH D IH T,6
2308,K R EH D AH T ER,7
2308,K R EH D IH T ER,7
1356,K R EY D OW,5
1356,K R IY D OW,5
3316,K R IH D UW L AH T IY,9
2628,K R EH JH AH L AH S,8
772,K R IY D,4
660,K R IY K,4
716,K R IY L,4
660,K R IY P,4
1268,K R IY M EY T,6
2220,K R IY M EY SH AH N,8
1323,K R IY OW L,5
2444,K R IY AH S OW T,7
660,K R EY P,4
2692,K R IH SH EH N D OW,8
2172,K R EH S AH N T,7
772,K R EH S,4
1284,K R EH S T,5
2308,K R EH S T AH D,7
2820,K R IH T EY SH IH S,8
1724,K R IY T AH N,6
1444,K R EH V AH S,6
414,K R UW,3
660,K R IH B,4
660,K R IH K,4
1444,K R IH K AH T,6
1444,K R IH K IH T,6
462,K R AY M,4
2060,K R IH M AH N AH L,8
4500,K R IH M IH N AA L AH JH IH S T,13
3476,K R IH M IH N AA L AH JH IY,11
834,K R IH M P,5
1708,K R IH M Z AH N,7
1164,K R IH N JH,5
1388,K R IH P AH L,6
1500,K R AY S AH S,6
1140,K R IH S P,5
1524,K R IH S P IY,6
2580,K R AY T IH R IY AH N,9
1652,K R IH T IH K,6
2380,K R IH T IH K AH L,8
3628,K R IH T IH S IH Z AH M,10
2548,K R IH T IH S AY Z,8
1652,K R AH T IY K,6
1652,K R IH T IY K,6
738,K R OW K,4
660,K R AA K,4
1444,K R AA K ER IY,6
2142,K R AA K AH D AY L,8
1564,K R OW K AH S,6
1164,K R AO F T,5
2290,K W AA S AA N T,7
2172,K R AH S AA N T,7
801,K R OW N,4
1298,K R OW N IY,5
738,K R UH K,4
1564,K R UH K AH D,6
801,K R UW N,4
660,K R AA P,4
1164,K R OW K EY,5
864,K R AO S,4
772,K R AA S,4
772,K R AA CH,4
2308,K R AA CH AH T IY,7
588,K R AW CH,4
738,K R UW P,4
414,K R OW,3
588,K R AW D,4
1500,K R AW D AH D,6
1500,K R AW D IH D,6
546,K R AW N,4
1872,K R UW SH AH L,6
2528,K R UW S AH B AH L,8
2856,K R UW S AH F IH K S,9
3696,K R UW S IH F IH K SH AH N,11
2076,K R UW S AH F AY,7
864,K R UW D,4
1352,K R UW AH L,5
801,K R UW L,4
1754,K R UW L T IY,6
2256,K R UW AH L T IY,7
864,K R UW Z,4
604,K R AH M,4
1436,K R AH M B AH L,7
924,K R AH M IY,5
1436,K R AH M P AH L,7
1164,K R AH N CH,5
1944,K R UW S EY D,6
772,K R AH SH,4
1284,K R AH S T,5
3260,K R AH S T EY SH AH N,9
2308,K R AH S T IH D,7
1796,K R AH S T IY,6
772,K R AH CH,4
1044,K R AH K S,5
288,K R AY,3
1044,K R IH P T,5
1812,K R IH P T IH K,7
2236,K R IH S T AH L,7
2900,K R IH S T AH L AY Z,9
384,K AH B,3
1164,K Y UW B AH,5
1508,K Y UW B AH N,6
1881,K AH B IY HH OW L,7
738,K Y UW B,4
1452,K Y UW B IH K,6
2180,K Y UW B IH K AH L,8
2372,K Y UW B IH Z AH M,8
2076,K Y UW B IH S T,7
1564,K Y UW B IH T,6
822,K AH K UW,4
918,K UW K UW,4
1884,K Y UW K AH M B ER,8
1448,K AH D AH L,5
1448,K AH JH AH L,5
414,K Y UW,3
384,K AH F,3
1842,K W IH Z IY N,6
2850,K Y UW L IH N EH R IY,9
440,K AH L,3
3136,K AH L M AH N EY SH AH N,10
3536,K AH L P AH B IH L IH T IY,11
2120,K AH L P AH B AH L,8
1708,K AH L P R IH T,7
888,K AH L T,4
2496,K AH L T AH V EY T,8
3520,K AH L T AH V EY T AH D,10
3520,K AH L T IH V EY T IH D,10
3448,K AH L T IH V EY SH AH N,10
2296,K AH L CH ER AH L,7
1344,K AH L CH ER,5
1856,K AH L CH ER D,6
1504,K AH L V ER T,6
1326,K Y UW M AH N,6
3316,K Y UW M Y AH L AH T IH V,11
3130,K Y UW N IY AH F AO R M,10
2880,K AH N AH L IH NG G AH S,10
1152,K AH N IH NG,5
888,K AH N T,4
384,K AH P,3
1564,K Y UW P IH D,6
3100,K Y UW P IH D IH T IY,9
1706,K AH P OW L AH,6
96,K ER,2
1932,K Y UH R AH S AW,7
1564,K Y UH R AH T,6
2444,K Y UH R AH T IH V,8
2076,K Y UH R EY T ER,7
2076,K Y UH R AH T ER,7
384,K ER B,3
496,K ER D,3
738,K Y UH R,4
1002,K ER F Y UW,5
1620,K Y UH R IY OW,6
3612,K Y UH R IY AA S AH T IY,10
2076,K Y UH R IY AH S,7
440,K ER L,3
888,K ER L ER,4
1944,K ER M AH JH IH N,7
1840,K ER AH N S IY,6
1384,K ER AH N T,5
1560,K AA R AH N T,6
2496,K ER IH K Y AH L AH M,9
496,K ER IY,3
496,K ER S,3
1520,K ER S ER IY,5
496,K ER T,3
1448,K ER T EY L,5
1448,K ER T AH N,5
1520,K ER T S IY,5
1680,K ER V AH CH ER,6
384,K ER V,3
1566,K UH SH AH N,5
1126,K UH SH IY,4
864,K AH S P,4
496,K AH S,3
2032,K AH S T ER D,6
3688,K AH S T OW D IY AH L,9
3688,K AH S T OW D IY AH N,9
2544,K AH S T AH D IY,7
1816,K AH S T AH M,6
2768,K AH S T AH M EH R IY,9
2136,K AH S T AH M ER,7
496,K AH T,3
864,K Y UW T,4
2528,K Y UW T AH K AH L,8
2528,K Y UW T IH K AH L,8
1840,K AH T L AH S,6
1384,K AH T L ER,5
1840,K AH T L ER IY,6
1488,S AY AH N AY D,6
1020,S AY N AY D,5
1016,S AY K AH L,5
1308,S AY K L IH K,6
2036,S AY K L IH K AH L,8
2232,S IH K L IH K AH L,8
2432,S AY K AH L IH S T,8
1948,S AY K L IH S T,7
1666,S IH K L OW N,6
2532,S AY K L AH P IY AH N,9
1824,S AY K L AO P S,7
2532,S AY K L AH T R AA N,9
2312,S IH L AH N D ER,7
2312,S IH L IH N D ER,7
3584,S AH L IH N D R IH K AH L,11
3584,S IH L IH N D R IH K AH L,11
1256,S IH M B AH L,6
1344,S IH N IH K,5
2072,S IH N IH K AH L,7
3304,S IH N IH S IH Z AH M,9
1288,S AY P R AH S,6
1288,S AY P R IH S,6
1912,S IH P R IY AH N,7
1984,S IH P R IY AH T,7
1984,S IH P R IY AA T,7
1288,S AY P R AH S,6
1224,S IH R AH L,5
1856,S ER IH L IH K,6
1152,S IH S T,4
496,Z AA R,3
496,CH EH K,3
3314,CH EH K AH S L OW V AA K,10
4098,CH EH K AH S L OW V AA K IY AH,12
4922,CH EH CH AH S L OW V AA K IY AH N,13
128,D IY,2
434,D AE B,3
1120,D AE B AH L,5
640,D EY S,3
1152,D AA CH AH,4
560,D AE D,3
1016,D AE D IY,4
1224,D EY D OW,4
1040,D IY M AH N,5
1040,D EY M AH N,5
2128,D AE F AH D IH L,7
776,D AE F T,4
776,D AE G ER,4
568,D AA L,3
1126,D AE L Y AH,5
568,D EY L,3
1472,D EY N T IY,5
1176,D AE K ER IY,5
880,D EH R IY,4
640,D EY Z,3
1152,D EY Z IY,4
568,D EY L,3
2240,D AE L IY AH N S,7
2309,D AE L M EY SH AH N,8
371,D AE M,3
1000,D AE M AH JH,5
1000,D AE M IH JH,5
1368,D AE M AH S K,6
424,D EY M,3
371,D AE M,3
2325,D AE M N EY SH AH N,8
2040,D AE M AH K L IY Z,8
576,D AE M P,4
1178,D AE M P AH N,6
834,D AE M P ER,5
1440,D AE M Z AH L,6
1440,D AE M S AH N,6
896,D AE N S,4
2800,D AE N D AH L AY AH N,9
1896,D AE N D R AH F,7
1352,D AE N D IY,5
568,D EY N,3
1472,D EY N JH ER,5
2496,D EY N JH ER AH S,7
1178,D AE NG G AH L,6
1470,D AE N Y AH L,6
1472,D EY N IH SH,5
576,D AE NG K,4
896,D AE N IY,4
1078,D AE F N IY,5
776,D AE P ER,4
496,D EH R,3
772,D AA R K,4
1416,D AA R K AH N,6
1440,D AA R L IH NG,6
826,D AA R N,4
880,D AA R T,4
560,D AE SH,3
1152,D EY T AH,4
1016,D AE T AH,4
640,D EY T,3
1664,D EY T IH D,5
1312,D AE T AH M,5
1448,D EY T AH M,5
558,D AO B,3
1288,D AO T ER,4
1136,D AO N T,4
2582,D AE V AH N P AO R T,9
880,D EY V IY,4
1728,D AO D AH L,5
639,D AO N,3
128,D EY,2
640,D EY Z,3
1456,D AE Z AH L,5
1224,D IY K AH N,5
2128,D IY K AH N AH S,7
640,D EH D,3
1592,D EH D AH N,5
496,D EH F,3
1224,D EH F AH N,5
568,D IY L,3
568,D IY N,3
496,D IH R,3
1792,D IH R AH S T,6
640,D ER TH,3
880,D IH R IY,4
640,D EH TH,3
1528,D EH TH L IY,5
496,D EH B,3
1896,D AH B AA K AH L,7
1280,D AH B EY S,5
1280,D AH B EY T,5
2464,D AH B AO CH ER IY,7
2128,D AH B EH N CH ER,7
3152,D AH B IH L AH T EY T,9
2640,D AH B IH L AH T IY,8
1280,D EH B IH T,5
2000,D EH B AH N EH R,7
1360,D IH B R IY F,6
1072,D AH B R IY,5
640,D EH T,3
1152,D EH T ER,4
1168,D IY B AH G,5
1342,D IH B AH NG K,6
1114,D EY B Y UW,5
1114,D EY B Y UW,5
1280,D EH K EY D,5
1280,D EH K EY D,5
2680,D EH K AH D AH N S,8
2680,D EH K AH D AH N T,8
1234,D AH K AE M P,6
1526,D AH K AE N T,6
2844,D IY K AE P AH T EY T,9
3796,D IH K AE P IH T EY SH AH N,11
880,D AH K EY,4
880,D IH K EY,4
1664,D IH S IY S,5
1664,D AH S IY T,5
1664,D IH S IY T,5
1520,D IH S IY V,5
3008,D IH S EH L ER EY T,8
1936,D IH S EH M B ER,7
2496,D IY S AH N S IY,7
2040,D IY S AH N T,6
5976,D IH S EH N T R AH L IH Z EY SH AH N,15
3760,D IH S EH N T R AH L AY Z,11
2744,D IH S EH P SH AH N,8
2672,D IH S EH P T IH V,8
2248,D EH S AH B EH L,7
1392,D IH S AY D,5
2304,D IH S AY D IH D,7
3192,D IH S AY D AH D L IY,9
3392,D IH S IH JH UW AH S,8
2064,D EH S AH M AH L,7
2112,D EH S AH M EY T,7
3064,D EH S AH M EY SH AH N,9
1584,D IH S AY F ER,6
2616,D IH S IH ZH AH N,7
2160,D IH S AY S IH V,7
496,D EH K,3
1440,D IH K L EY M,6
3096,D EH K L ER EY SH AH N,9
3712,D IH K L EH R AH T AO R IY,11
1504,D IH K L EH R,6
1888,D IH K L EH R D,7
1372,D IH K L AY N,6
1384,D IH K OW D,5
1952,D IH K OW D ER,6
2086,D IY K AH M P OW Z,8
4118,D IY K AH M P OW Z IH SH AH N,12
3976,D IY K AH M P AH Z IH SH AH N,12
3180,D IY K AH M P R EH SH AH N,11
1258,D IH K AO R,5
1258,D EY K AO R,5
1792,D EH K ER EY T,6
2744,D EH K ER EY SH AH N,8
2352,D EH K R AH T IH V,8
2304,D EH K ER EY T ER,7
1792,D EH K ER AH S,6
1916,D IH K AO R AH M,7
826,D AH K OY,4
1472,D IH K R IY S,6
1472,D IY K R IY S,6
1072,D IH K R IY,5
2144,D AH K R EH P IH T,8
988,D IH K R AY,5
2304,D EH D AH K EY T,7
3328,D EH D AH K EY T AH D,9
3256,D EH D AH K EY SH AH N,9
1800,D IH D UW S,5
1904,D IH D AH K T,6
3400,D IH D AH K T AH B AH L,10
2744,D IH D AH K SH AH N,8
2672,D IH D AH K T AH V,8
640,D IY D,3
424,D IY M,3
496,D IY P,3
1224,D IY P AH N,5
496,D IH R,3
1280,D IH F EY S,5
2728,D EH F AH M EY SH AH N,9
3082,D IH F AE M AH T AO R IY,10
1112,D IH F EY M,5
1818,D IH F AO L T,6
1280,D IH F IY T,5
3112,D IH F IY T IH Z AH M,9
2816,D IH F IY T IH S T,8
1552,D IY F EH K T,6
1552,D IH F EH K T,6
2392,D IH F EH K SH AH N,8
2320,D IH F EH K T IH V,8
1952,D IH F EH K T ER,7
1672,D IH F EH N S,6
1672,D IH F EH N D,6
3016,D IH F EH N D AH N T,9
3224,D IH F EH N S AH B AH L,10
2496,D IH F EH N S IH V,8
880,D IH F ER,4
2168,D EH F ER AH N S,7
1864,D EH F R AH N S,7
3064,D EH F ER EH N CH AH L,9
3064,D EH F ER EH N SH AH L,9
1864,D IH F AY AH N S,7
1864,D IH F AY AH N T,7
3136,D IH F IH SH AH N S IY,9
2680,D IH F IH SH AH N T,8
2304,D EH F AH S AH T,7
1030,D IH F AY N,5
2128,D EH F AH N AH T,7
3080,D EH F AH N IH SH AH N,9
3008,D IH F IH N IH T IH V,9
1632,D IH F L EY T,6
2584,D IH F L EY SH AH N,8
3744,D IH F L EY SH AH N EH R IY,11
1888,D IH F L EH K T,7
3162,D IH F OW L IY AH N T,9
2596,D IH F AO R AH S T,8
4572,D IH F AO R IH S T EY SH AH N,12
3050,D IY F AO R M EY SH AH N,10
2610,D IH F AO R M AH T IY,9
1564,D IH F R AO D,6
1072,D IH F R EY,5
2132,D IH F R AO S T,7
880,D EH F T,4
1600,D IH F AH NG K T,7
1564,D IH F Y UW Z,6
772,D IH F AY,4
3520,D IH JH EH N ER AH S IY,9
3008,D IH JH EH N ER AH T,8
3008,D IH JH EH N ER EY T,8
3960,D IH JH EH N ER EY SH AH N,10
3888,D IH JH EH N ER AH T IH V,10
3448,D EH G R AH D EY SH AH N,10
1472,D IH G R EY D,6
1072,D IH G R IY,5
2144,D IH HH AY D R EY T,8
3416,D IY AH F AH K EY SH AH N,10
1284,D IY AH F AY,5
568,D EY N,3
1960,D IY IH Z AH M,6
1664,D IY AH T IY,5
2816,D IH JH EH K T IH D,8
1016,D IH L EY,4
3224,D IH L EH K T AH B AH L,10
2128,D EH L AH G EY T,7
2128,D EH L AH G AH T,7
3080,D EH L AH G EY SH AH N,9
1472,D IH L IY T,5
3648,D EH L AH T IH R IY AH S,10
2424,D IH L IY SH AH N,7
1232,D EH L F T,5
2640,D IH L IH B ER AH T,8
2640,D IH L IH B ER EY T,8
2320,D IH L IH B R AH T,8
3592,D IH L IH B ER EY SH AH N,10
3520,D IH L IH B ER EY T IH V,10
3200,D IH L IH B R AH T IH V,10
2640,D EH L AH K AH S IY,8
2640,D EH L IH K AH S IY,8
2128,D EH L AH K AH T,7
4104,D EH L IH K AH T EH S AH N,11
2496,D IH L IH SH AH S,7
1232,D IH L AY T,5
2824,D IH L IH N IY EY T,8
3776,D IH L IH N IY EY SH AH N,10
3378,D IH L IH NG K W AH N S IY,11
2922,D IH L IH NG K W AH N T,10
2640,D IH L IH R IY AH S,8
2424,D IH L IH R IY AH M,8
1728,D IH L IH V ER,6
3016,D IH L IH V ER AH N S,9
2712,D IH L IH V R AH N S,9
2128,D IH L IH V ER IY,7
568,D EH L,3
1136,D EH L F AY,5
1520,D EH L F IH K,6
1472,D EH L T AH,5
1592,D IH L UW D,5
1730,D EH L Y UW JH,6
2600,D IH L UW ZH AH N,7
890,D EH L V,4
2656,D EH M AH G AA JH IH K,9
1664,D EH M AH G AA G,7
2448,D EH M AH G AA G ER IY,9
2288,D EH M AH G AA JH IY,8
1357,D IH M AE N D,6
2920,D IY M AA R K EY SH AH N,10
1376,D IH M AA R CH,6
1376,D IY M AA R CH,6
1040,D IH M IY N,5
1488,D AH M EH N T,6
2456,D IH M EH N T IH D,8
1776,D IY M EH R AH T,7
912,D IH M AY Z,5
789,D EH M OW,4
4366,D IY M OW B AH L AY Z EY SH AH N,13
4718,D IY M OW B AH L AH Z EY SH AH N,13
2480,D IH M AA K R AH S IY,9
1876,D EH M AH K R AE T,8
2700,D EH M AH K R AE T IH K,10
4968,D IH M AA K R AH T AH Z EY SH AH N,14
2720,D IH M AA K R AH T AY Z,10
2240,D IH M AA G R AH F ER,9
2408,D EH M AH G R AE F IH K,10
2240,D IH M AA G R AH F IY,9
1944,D IH M AA L IH SH,7
2896,D EH M AH L IH SH AH N,9
1040,D IY M AH N,5
1816,D IH M AA N IH K,7
3712,D EH M AH N S T R AH B AH L,12
3096,D EH M AH N S T R EY T,10
4048,D EH M AH N S T R EY SH AH N,12
3976,D IH M AA N S T R AH T IH V,12
3608,D EH M AH N S T R EY T ER,11
4718,D IH M AO R AH L IH Z EY SH AH N,13
2502,D IH M AO R AH L AY Z,9
1176,D IH M OW T,5
2184,D IH M OW SH AH N,7
744,D IH M ER,4
1272,D IH M Y UH R,6
2756,D IY M IH S T AH F AY,9
568,D EH N,3
2496,D IH N EY CH ER D,7
1576,D IH N AY AH L,6
2320,D EH N AH G R EY T,8
1280,D EH N AH M,5
2424,D EH N AH Z AH N,7
2800,D IH N AA M AH N EY T,9
3883,D IH N AO M AH N EY SH AH N,11
4723,D IH N AO M AH N EY SH AH N AH L,13
3312,D IH N AA M AH N EY T ER,10
1592,D IH N OW T,5
2027,D EY N UW M AA N,7
1534,D IH N AW N S,6
1016,D EH N S,4
2496,D EH N S AH T IY,7
2496,D EH N S IH T IY,7
1016,D EH N T,4
1912,D EH N T AH L,6
2496,D EH N T AH S T,7
2496,D EH N T IH S T,7
3248,D EH N T AH S T R IY,9
3248,D EH N T IH S T R IY,9
1472,D EH N CH ER,5
1592,D IH N UW D,5
4288,D IH N AH N S IY EY SH AH N,11
890,D IH N AY,4
3256,D IY OW D ER AH N T,8
1552,D IH P AA R T,6
2464,D IH P AA R T AH D,8
2464,D IH P AA R T IH D,8
2848,D IH P AA R T M AH N T,10
3744,D IH P AA R T M EH N T AH L,12
1952,D IH P AA R CH ER,7
1672,D IH P EH N D,6
4640,D IH P EH N D AH B IH L IH T IY,13
3016,D IH P EH N D AH N S,9
3472,D IH P EH N D AH N S IY,10
3016,D IH P EH N D AH N T,9
1552,D IH P IH K T,6
2392,D IH P IH K SH AH N,8
3552,D IH P IH L AH T AO R IY,10
1632,D IH P L IY T,6
2584,D IH P L IY SH AH N,8
1594,D IH P L AO R,6
1127,D IH P L OY,5
2992,D IY P AA P Y AH L EY T,10
3504,D IH P AA P Y AH L EY SH AH,11
3504,D IY P AA P Y AH L EY SH AH,11
1684,D IH P AO R T,6
3548,D IY P AO R T EY SH AH N,10
2084,D IY P AO R T IY,7
2980,D AH P AO R T M AH N T,10
1384,D IH P OW Z,5
2304,D AH P AA Z IH T,7
2304,D IH P AA Z AH T,7
3256,D EH P AH Z IH SH AH N,9
2816,D AH P AA Z IH T ER,8
3728,D IH P AA Z AH T AO R IY,10
934,D IY P OW,4
3096,D EH P R AH V EY SH AH N,10
1360,D IY P R EY V,6
2536,D IH P R AE V AH T IY,9
2144,D EH P R AH K EY T,8
3008,D IH P R IY SH IY EY T,9
3960,D IH P R IY SH IY EY SH AH N,11
3448,D EH P R AH D EY SH AH N,10
1472,D IH P R EH S,6
2424,D IH P R EH SH AH N,8
2352,D IH P R EH S IH V,8
3096,D EH P R AH V EY SH AH N,10
880,D EH P TH,4
2224,D EH P Y AH T AY Z,8
1984,D EH P Y AH T IY,7
2132,D EH P Y UW T IY,7
1224,D IH R EY L,5
1672,D IH R EY N JH,6
880,D ER B IY,4
2384,D EH R AH L IH K T,8
3224,D EH R AH L IH K SH AH N,10
1072,D IH R AY D,5
2104,D ER IH ZH AH N,6
2032,D ER IH S IH V,6
1648,D ER AY S IH V,6
2904,D EH R AH V EY SH AH N,9
2672,D ER IH V AH T IH V,8
2672,D ER IH V IH T IH V,8
4480,D ER M AH T AA L AH JH IH S T,12
3456,D ER M AH T AA L AH JH IY,10
3216,D ER AA G AH T AO R IY,9
1168,D EH R IH K,5
1280,D ER V IH SH,5
4288,D IY S EY L IH N EY SH AH N,11
2040,D IH S EH N D,6
3384,D IH S EH N D AH N T,9
3008,D IH S EH N D AH D,8
3008,D IH S EH N D IH D,8
2040,D IH S EH N T,6
1716,D IH S K R AY B,7
3096,D IH S K R IH P SH AH N,10
3024,D IH S K R IH P T IH V,10
2496,D EH Z AH K R EY T,8
3448,D EH S AH K R EY SH AH N,10
3448,D EH Z AH K R EY SH AH N,10
3168,D IH S EH G R AH G EY T,10
4120,D IH S EH G R AH G EY SH AH N,12
4120,D IY S EH G R AH G EY SH AH N,12
3760,D IH S EH N S AH T AY Z,10
1664,D EH Z ER T,5
1664,D IH Z ER T,5
2616,D IH Z ER SH AH N,7
1520,D IH Z ER V,5
2304,D EH S AH K EY T,7
1338,D IH Z AY N,5
2656,D EH Z AH G N EY T,8
2656,D EH Z IH G N EY T,8
3608,D EH Z AH G N EY SH AH N,10
3608,D EH Z IH G N EY SH AH N,10
4016,D IH Z AY R AH B IH L IH T IY,12
1392,D IH Z AY ER,5
1984,D IH Z AY R AH S,7
2176,D IH S IH S T,6
2176,D IH Z IH S T,6
1008,D EH S K,4
2496,D EH S AH L AH T,7
2496,D EH Z AH L AH T,7
2496,D EH S AH L EY T,7
3448,D EH S AH L EY SH AH N,9
1680,D IH S P EH R,6
2888,D EH S P ER AA D OW,8
1984,D EH S P R IH T,7
2304,D EH S P ER IH T,7
3256,D EH S P ER EY SH AH N,9
3256,D EH S P ER EY SH IH N,9
3080,D IH S P IH K AH B AH L,10
1584,D IH S P AY Z,6
1584,D IH S P AY T,6
3984,D IH S P AA N D AH N S IY,11
3528,D IH S P AA N D AH N T,10
1792,D EH S P AH T,6
2672,D IH S P AA T IH K,8
3624,D EH S P AH T IH Z AH M,10
1664,D IH Z ER T,5
3960,D EH S T AH N EY SH AH N,10
3960,D EH S T IH N EY SH AH N,10
2552,D EH S T IH N D,7
2552,D EH S T AH N IY,7
3336,D EH S T AH T UW T,8
4344,D EH S T AH T UW SH AH N,10
1850,D IH S T R OY,6
3416,D IH S T R AH K SH AH N,10
3344,D IH S T R AH K T IH V,10
3400,D EH S AH L T AO R IY,9
1528,D IH T AE CH,5
1528,D IY T AE CH,5
1592,D IH T EY L,5
1592,D IY T EY L,5
1592,D IH T EY N,5
1904,D IH T EH K T,6
2744,D IH T EH K SH AH N,8
2672,D IH T EH K T IH V,8
2304,D IH T EH K T ER,7
2040,D EY T AA N T,6
2936,D IH T EH N SH AH N,8
1152,D IH T ER,4
3064,D IH T ER JH AH N T,8
3328,D IH T IH R IY ER EY T,9
4280,D IH T IH R IY ER EY SH AH N,11
3352,D IH T ER M AH N AH N T,10
2968,D IH T ER M AH N EY T,9
3920,D IH T ER M AH N EY SH AH N,11
3848,D IH T ER M IH N AH T IH V,11
2064,D AH T ER M AH N,7
2064,D IH T ER M AH N,7
3776,D IH T ER M AH N IH Z AH M,11
4360,D IH T ER M AH N IH S T IH K,12
2552,D IH T ER AH N S,7
2176,D IH T EH S T,6
2176,D IY T EH S T,6
1833,D IH TH R OW N,6
1833,D IY TH R OW N,6
2496,D EH T AH N EY T,7
3448,D EH T AH N EY SH AH N,9
3008,D EH T AH N EY T ER,8
1638,D IH T UH R,5
1638,D IY T UH R,5
2332,D IY T R AE K T ER,8
2688,D EH T R AH M AH N T,9
3584,D EH T R AH M EH N T AH L,11
2496,D IH T R AY T AH S,8
2816,D EH T R AH T AH S,8
720,D UW S,3
3774,D IH V AE L Y UW EY SH AH N,11
3774,D IY V AE L Y UW EY SH AH N,11
1804,D IH V AE L Y UW,7
2816,D EH V AH S T EY T,8
3768,D EH V AH S T EY SH AH N,10
2000,D IH V EH L AH P,7
4112,D IH V EH L AH P M EH N T AH L,13
2168,D IY V IY AH N S,7
2624,D IY V IY EH N S IY,8
2168,D IY V IY AH N T,7
1792,D IY V IY EY T,6
2744,D IY V IY EY SH AH N,8
1072,D IH V AY S,5
1224,D EH V AH L,5
1792,D IY V IY AH S,6
1072,D IH V AY Z,5
1072,D IH V AY S,5
1176,D IH V OY D,5
3256,D EH V AH L UW SH AH N,9
2464,D IH V OW T AH D,7
2464,D IH V OW T IH D,7
2392,D IH V OW SH AH N,7
3232,D IH V OW SH AH N AH L,9
1072,D IH V AW ER,5
1072,D IH V AW T,5
144,D UW,2
720,D UW IY,3
3456,D EH K S T EH R AH T IY,10
3456,D EH K S T EH R IH T IY,10
2536,D EH K S T R OW S,8
2432,D EH K S T R AH S,8
2576,D AY AH B IY T IY Z,8
2432,D AY AH B EH T IH K,8
3000,D AY AH B AA L IH K AH L,10
3352,D AY AH K R IH T AH K AH L,11
1688,D AY AH D EH M,6
2010,D AY AH G N OW S,7
3090,D AY AH G N OW S AH S,9
3296,D AY AH G N AA S T IH K,10
2204,D AY AE G AH N AH L,8
1505,D AY AH G R AE M,7
2976,D AY AH G R AH M AE T IH K,11
824,D AY AH L,4
426,D AY L,3
1984,D AY AH L EH K T,7
2752,D AY AH L EH K T IH K,9
3480,D AY AH L EH K T IH K AH L,11
1704,D AY AH L AO G,6
1770,D AY AE M AH T ER,7
1312,D AY M AH N D,6
727,D AY AE N,4
672,D AY P ER,4
2268,D AY AE F AH N IH S,8
1505,D AY AH F R AE M,7
1392,D AY ER IY AH,5
880,D AY ER IY,4
672,D AY R IY,4
1888,D AY AE S P ER AH,7
1740,D AY AH T R AY B,7
1224,D IH B AH L,5
480,D AY S,3
880,D AY S IY,4
2200,D AY K AA T AH M IY,8
496,D IH K,3
2473,D IH K T AH F OW N,8
1792,D IH K T EY T,6
1792,D IH K T EY T,6
2744,D IH K T EY SH AH N,8
2304,D IH K T EY T ER,7
2304,D IH K T EY T ER,7
4056,D IH K T AH T AO R IY AH L,11
1720,D IH K SH AH N,6
2880,D IH K SH AH N EH R IY,9
1576,D IH K T AH M,6
2256,D AY D AE K T IH K,8
96,D AY,2
1592,D IY S AH L,5
1592,D IY Z AH L,5
880,D AY AH T,4
2144,D AY AH T EH R IY,7
2784,D AY AH T EH T IH K,8
2856,D AY AH T IH SH AH N,8
880,D IH F ER,4
2168,D IH F ER AH N S,7
1864,D IH F R AH N S,7
2168,D IH F ER AH N T,7
1864,D IH F R AH N T,7
3064,D IH F ER EH N SH AH L,9
3064,D IH F ER EH N CH AH L,9
3648,D IH F ER EH N SH IY EY T,10
3648,D IH F ER EH N CH IY EY T,10
4600,D IH F ER EH N CH IY EY SH AH N,12
2344,D IH F AH K AH L T,8
2800,D IH F AH K AH L T IY,9
2800,D IH F IH K AH L T IY,9
2464,D IH F R AE K SH AH N,9
1564,D IH F Y UW S,6
1564,D IH F Y UW Z,6
2572,D IH F Y UW ZH AH N,8
496,D IH G,3
1904,D AY JH EH S T,6
1904,D AY JH EH S T,6
3512,D AY JH EH S T AH B AH L,10
2856,D AY JH EH S CH AH N,8
2784,D AY JH EH S T IH V,8
1664,D IH JH AH T,5
1664,D IH JH IH T,5
